name,logP,logD,Vd,PPB,MW,theory_score,ile_prob,category,ad_flag,rank
Meprobamate,0.983,1.225,-0.438,46.667,218.3,40.8,60.5,Medium,ok,1463
Metocurine iodide,1.46,1.223,16.352,81.427,652.8,24.5,60.4,Medium,domain-edge (prediction unreliable),1464
Clindamycin,0.39,1.222,2.061,53.008,425.0,35.6,60.4,Medium,ok,1465
Rifamycin,4.754,1.221,8.919,89.889,697.8,25.2,60.4,Medium,domain-edge (prediction unreliable),1466
Omacetaxine mepesuccinate,2.581,1.222,4.007,68.719,545.6,30.9,60.4,Medium,ok,1467
Rifabutin,4.616,1.219,10.255,87.76,847.0,24.4,60.3,Medium,domain-edge (prediction unreliable),1468
Rasagiline,1.897,1.209,0.067,49.83,171.2,40.3,60.0,Medium,ok,1469
Tegaserod,2.815,1.209,6.747,80.533,301.4,26.9,60.0,Medium,ok,1470
Benzyl alcohol,1.179,1.208,-0.519,41.857,108.1,40.3,60.0,Medium,ok,1471
Thonzylamine,2.053,1.211,-0.733,53.886,286.4,40.4,60.0,Medium,ok,1472
Emedastine,2.215,1.21,3.078,46.773,302.4,32.5,60.0,Medium,ok,1473
Gliquidone,3.519,1.207,-7.783,102.419,527.6,40.2,59.9,Medium,ok,1474
Pentagastrin,1.52,1.201,-2.664,90.187,767.9,40.0,59.7,Medium,domain-edge (prediction unreliable),1475
Eslicarbazepine acetate,3.064,1.195,-6.315,64.127,296.3,39.8,59.5,Medium,ok,1476
Ibutilide,4.164,1.188,19.5,57.759,384.6,23.8,59.3,Medium,ok,1477
Rucaparib,2.979,1.186,7.48,73.69,323.4,25.7,59.2,Medium,ok,1478
Vorinostat,2.471,1.187,-0.433,66.248,264.3,39.6,59.2,Medium,ok,1479
Pinacidil,2.164,1.186,2.889,59.892,245.3,32.2,59.2,Medium,ok,1480
Ataluren,3.241,1.171,-8.175,103.756,284.2,39.0,58.7,Medium,ok,1481
Lofexidine,2.762,1.17,9.418,63.342,259.1,23.8,58.7,Medium,ok,1482
Erythromycin,1.786,1.17,6.304,42.594,733.9,26.5,58.7,Medium,domain-edge (prediction unreliable),1483
Carmofur,0.814,1.166,-0.148,69.758,257.3,38.9,58.6,Medium,ok,1484
Krypton Kr 81m,0.0,1.167,1.261,41.255,80.9,37.3,58.6,Medium,domain-edge (prediction unreliable),1485
Isoflurophate,2.914,1.161,0.042,25.404,184.1,38.7,58.4,Medium,ok,1486
Eszopiclone,1.568,1.156,3.303,63.967,388.8,30.5,58.2,Medium,ok,1487
Ethyl chloride,1.245,1.156,4.395,31.912,64.5,28.6,58.2,Medium,domain-edge (prediction unreliable),1488
Methyclothiazide,0.598,1.153,-0.334,78.47,360.2,38.4,58.1,Medium,ok,1489
Diosmin,-1.09,1.153,5.234,92.648,608.5,27.4,58.1,Medium,domain-edge (prediction unreliable),1490
Ambroxol,3.187,1.149,14.985,64.391,378.1,23.0,58.0,Medium,ok,1491
Lidocaine,2.584,1.14,5.408,37.57,234.3,26.9,57.7,Medium,ok,1492
Undecylenic acid,3.378,1.136,-2.004,82.201,184.3,37.9,57.5,Medium,ok,1493
Daunorubicin,1.029,1.133,15.608,81.94,527.5,22.7,57.4,Medium,ok,1494
Articaine,2.17,1.132,0.844,62.433,284.4,37.7,57.4,Medium,ok,1495
Flurbiprofen,3.681,1.128,-4.748,90.838,244.3,37.6,57.3,Medium,ok,1496
Methylene blue,0.867,1.129,15.4,62.588,284.4,22.6,57.3,Medium,ok,1497
Carbimazole,1.561,1.126,-2.232,43.846,186.2,37.5,57.2,Medium,ok,1498
Indocyanine green,5.374,1.124,4.743,85.867,752.0,27.3,57.1,Medium,domain-edge (prediction unreliable),1499
Flecainide,3.441,1.123,4.975,53.766,414.3,27.0,57.1,Medium,ok,1500
Octasulfur,5.186,1.114,9.155,93.333,256.5,22.8,56.8,Medium,ok,1501
Esketamine,2.898,1.114,3.782,49.672,237.7,28.5,56.8,Medium,ok,1502
Florantyrone,4.535,1.115,-6.632,100.396,302.3,37.2,56.8,Medium,ok,1503
Levamisole,2.146,1.112,-3.818,49.3,204.3,37.1,56.7,Medium,ok,1504
Belinostat,2.006,1.105,-4.227,93.547,318.4,36.8,56.5,Medium,ok,1505
Butobarbital,0.939,1.103,-1.265,52.27,212.2,36.8,56.4,Medium,ok,1506
Oxcarbazepine,2.642,1.099,-5.904,68.033,252.3,36.6,56.3,Medium,ok,1507
Deferasirox,3.711,1.1,-8.364,101.707,373.4,36.7,56.3,Medium,ok,1508
Strontium chloride Sr-89,-6.373,1.098,8.356,58.457,88.9,23.1,56.2,Medium,domain-edge (prediction unreliable),1509
Cabergoline,3.194,1.096,12.619,57.891,451.6,21.9,56.2,Medium,ok,1510
Phentolamine,2.84,1.095,-1.892,69.043,281.4,36.5,56.1,Medium,ok,1511
Strontium chloride,-6.373,1.095,8.351,58.381,35.5,23.0,56.1,Medium,domain-edge (prediction unreliable),1512
Activated charcoal,0.081,1.091,1.052,37.903,12.0,36.1,56.0,Medium,domain-edge (prediction unreliable),1513
Nylidrin,3.425,1.092,4.64,58.912,299.4,26.7,56.0,Medium,ok,1514
Clobutinol,2.831,1.09,10.745,45.505,255.8,21.8,55.9,Medium,ok,1515
Zirconium chloride hydroxide,0.13,1.085,0.203,40.179,143.7,36.2,55.8,Medium,ok,1516
Propantheline,4.731,1.082,23.723,56.251,368.5,21.6,55.7,Medium,ok,1517
Phloxine B,1.674,1.082,15.988,84.328,783.7,21.6,55.7,Medium,domain-edge (prediction unreliable),1518
Mirabegron,2.772,1.078,3.257,75.711,396.5,28.6,55.5,Medium,ok,1519
Capecitabine,0.76,1.074,3.165,59.225,359.4,28.6,55.4,Medium,ok,1520
Palonosetron,2.657,1.074,1.434,49.482,296.4,33.6,55.4,Medium,ok,1521
Sodium lauryl sulfate,0.388,1.072,8.606,74.615,265.4,22.4,55.3,Medium,ok,1522
Felbamate,0.961,1.072,-4.609,51.211,238.2,35.7,55.3,Medium,ok,1523
Parecoxib,3.532,1.068,-7.801,97.303,370.4,35.6,55.2,Medium,ok,1524
Chromium,-0.002,1.062,0.552,39.484,52.0,35.4,55.0,Medium,domain-edge (prediction unreliable),1525
Selenium Sulfide,0.916,1.063,-2.317,44.563,143.1,35.4,55.0,Medium,ok,1526
Cyanocobalamin,2.722,1.058,-6.369,62.657,1355.4,35.3,54.9,Medium,domain-edge (prediction unreliable),1527
Tromantadine,1.65,1.06,2.874,42.735,280.4,28.9,54.9,Medium,ok,1528
Chromium Cr-51,-0.002,1.059,0.554,39.411,50.9,35.3,54.9,Medium,domain-edge (prediction unreliable),1529
Pitavastatin,4.518,1.06,-2.73,94.555,421.5,35.3,54.9,Medium,ok,1530
Remifentanil,2.0,1.057,-2.905,59.667,376.5,35.2,54.8,Medium,ok,1531
Ketamine,2.898,1.057,3.665,46.681,237.7,27.3,54.8,Medium,ok,1532
Remoxipride,2.68,1.049,8.666,52.111,371.3,21.9,54.6,Medium,ok,1533
Betrixaban,4.135,1.047,8.999,80.78,451.9,21.6,54.5,Medium,ok,1534
Rimantadine,2.55,1.047,2.74,48.743,179.3,28.8,54.5,Medium,ok,1535
Epinastine,2.467,1.048,-2.991,59.865,249.3,34.9,54.5,Medium,ok,1536
Iloprost,3.541,1.047,-2.53,77.764,360.5,34.9,54.5,Medium,ok,1537
Oxaprozin,4.026,1.048,-5.736,97.191,293.3,34.9,54.5,Medium,ok,1538
Azapropazone,1.84,1.042,-4.584,79.427,298.3,34.7,54.3,Medium,ok,1539
Isavuconazonium,4.585,1.039,5.851,79.384,717.8,24.0,54.2,Medium,domain-edge (prediction unreliable),1540
Ethanolamine oleate,5.046,1.037,1.693,84.614,282.5,31.4,54.1,Medium,ok,1541
Ribociclib,2.796,1.036,11.686,66.285,434.5,20.7,54.1,Medium,ok,1542
Trimethobenzamide,2.583,1.031,1.089,62.569,388.5,33.9,53.9,Medium,ok,1543
Zopiclone,1.568,1.028,3.265,62.884,388.8,27.2,53.8,Medium,ok,1544
Risdiplam,1.963,1.026,3.61,69.94,401.5,26.6,53.8,Medium,ok,1545
Metocurine,7.452,1.022,11.823,75.072,652.8,20.4,53.6,Medium,domain-edge (prediction unreliable),1546
Alfentanil,1.384,1.018,-2.878,48.603,416.5,33.9,53.5,Medium,ok,1547
Amineptine,4.499,1.015,-2.694,88.481,337.5,33.8,53.4,Medium,ok,1548
Liotrix,-0.151,1.012,35.622,88.707,775.9,20.2,53.3,Medium,domain-edge (prediction unreliable),1549
Zonisamide,0.616,1.008,-1.293,68.194,212.2,33.6,53.1,Medium,ok,1550
Neon,0.0,1.005,1.323,37.075,20.2,31.9,53.0,Medium,domain-edge (prediction unreliable),1551
Chlorthalidone,0.924,1.005,-1.409,77.541,338.8,33.5,53.0,Medium,ok,1552
Abacavir,1.092,1.002,10.954,58.876,286.3,20.0,52.9,Medium,ok,1553
Sacubitril,3.835,0.997,-4.117,96.488,411.5,33.2,52.7,Medium,ok,1554
Benzquinamide,2.423,0.985,1.472,44.633,404.5,30.6,52.3,Medium,ok,1555
Anastrozole,2.929,0.982,-2.993,39.599,293.4,32.7,52.2,Medium,ok,1556
Tropisetron,2.95,0.977,4.722,65.153,284.4,23.8,52.1,Medium,ok,1557
Butabarbital,0.795,0.975,-1.417,48.344,212.2,32.5,52.0,Medium,ok,1558
Hydrocortisone phosphate,1.899,0.96,0.687,69.118,442.4,32.0,51.5,Medium,ok,1559
Sulindac,4.366,0.959,-5.362,94.408,356.4,32.0,51.4,Medium,ok,1560
Neoarsphenamine,-2.877,0.959,12.1,81.032,443.2,19.2,51.4,Medium,ok,1561
Physostigmine,1.774,0.956,1.195,45.019,275.4,30.9,51.3,Medium,ok,1562
Etamivan,1.883,0.951,0.537,42.237,223.3,31.7,51.2,Medium,ok,1563
Oseltamivir,1.285,0.954,-0.964,45.363,312.4,31.8,51.2,Medium,ok,1564
Sulfinpyrazone,3.796,0.947,-6.591,89.524,404.5,31.6,51.0,Medium,ok,1565
Hydroflumethiazide,0.014,0.943,-0.934,76.801,331.3,31.4,50.9,Medium,ok,1566
Iopodic acid,3.739,0.942,13.249,89.491,598.0,18.8,50.9,Medium,ok,1567
Chloramphenicol,0.909,0.944,0.759,55.07,323.1,31.5,50.9,Medium,ok,1568
Vonoprazan,2.646,0.941,-0.582,74.332,345.4,31.4,50.8,Medium,ok,1569
Spiramycin,2.325,0.94,4.94,48.484,843.1,22.6,50.8,Medium,domain-edge (prediction unreliable),1570
Pheniramine,3.165,0.938,3.512,44.63,240.4,24.5,50.7,Medium,ok,1571
Micafungin,-3.902,0.934,-5.877,95.864,1270.3,31.1,50.6,Medium,domain-edge (prediction unreliable),1572
Methylphenobarbital,1.043,0.933,-3.105,65.259,246.3,31.1,50.5,Medium,ok,1573
Chlormezanone,1.616,0.931,0.458,68.49,273.7,31.0,50.5,Medium,ok,1574
Fosphenytoin,1.549,0.929,-0.657,80.292,362.3,31.0,50.4,Medium,ok,1575
Prednisolone phosphate,1.675,0.928,1.153,69.736,440.4,30.2,50.3,Medium,ok,1576
Helium,0.0,0.923,1.624,38.623,4.0,28.2,50.2,Medium,domain-edge (prediction unreliable),1577
Diphenylguanidine,3.145,0.917,1.366,64.863,211.3,28.9,50.0,Medium,ok,1578
Chloroprocaine,2.421,0.917,17.121,45.119,270.8,18.3,50.0,Medium,ok,1579
Alloin,-0.891,0.912,7.471,76.495,418.4,19.8,49.8,Medium,ok,1580
Technetium Tc-99m pyrophosphate,-3.342,0.912,-5.099,95.576,173.9,30.4,49.8,Medium,ok,1581
Prilocaine,2.322,0.908,0.633,47.759,220.3,30.3,49.7,Medium,ok,1582
Diamorphine,1.989,0.906,-0.896,48.932,369.4,30.2,49.6,Medium,ok,1583
Pipradrol,3.065,0.904,-2.116,54.213,267.4,30.1,49.5,Medium,ok,1584
Magnesium,-0.916,0.9,0.623,30.547,26.3,30.0,49.4,Medium,domain-edge (prediction unreliable),1585
Fursultiamine,2.5,0.897,-0.033,57.489,398.6,29.9,49.3,Medium,ok,1586
Cetrorelix,-0.506,0.899,-2.844,71.242,1431.1,30.0,49.3,Medium,domain-edge (prediction unreliable),1587
Naphazoline,2.384,0.894,-1.96,61.688,210.3,29.8,49.2,Medium,ok,1588
Lacosamide,0.454,0.894,-3.754,49.955,250.3,29.8,49.2,Medium,ok,1589
Trichlormethiazide,0.821,0.896,0.108,80.511,380.7,29.9,49.2,Medium,ok,1590
Amlexanox,2.745,0.891,-2.963,98.826,298.3,29.7,49.1,Medium,ok,1591
Salicylamide,0.491,0.889,-3.195,44.095,137.1,29.6,49.0,Medium,ok,1592
Atosiban,-3.045,0.889,-3.291,72.421,994.2,29.6,49.0,Medium,domain-edge (prediction unreliable),1593
Etodolac,3.383,0.886,-0.644,90.815,287.4,29.5,48.9,Medium,ok,1594
Kaolin,-10.375,0.882,-5.151,104.351,168.2,29.4,48.8,Medium,ok,1595
Huperzine A,1.998,0.881,-1.426,46.876,242.3,29.4,48.7,Medium,ok,1596
Iobenguane,1.065,0.881,12.083,61.324,275.1,17.6,48.7,Medium,ok,1597
Quaternium-24,3.568,0.881,22.441,46.46,298.6,17.6,48.7,Medium,ok,1598
Diazoxide,1.873,0.877,1.246,87.025,230.7,28.1,48.6,Medium,ok,1599
Nalbuphine,1.707,0.876,3.778,49.467,357.5,22.5,48.6,Medium,ok,1600
Ethionamide,1.278,0.875,-1.514,37.321,166.2,29.2,48.5,Medium,ok,1601
Ajmaline,1.554,0.874,4.043,45.903,326.4,22.1,48.5,Medium,ok,1602
Levocetirizine,3.148,0.867,4.061,89.153,388.9,21.9,48.2,Medium,ok,1603
Fenoprofen,3.667,0.86,-3.537,90.532,242.3,28.7,48.0,Medium,ok,1604
Alcaftadine,2.779,0.856,-2.077,56.239,307.4,28.5,47.8,Medium,ok,1605
Zomepirac,2.845,0.852,-0.414,93.632,291.7,28.4,47.7,Medium,ok,1606
Topiramate,-0.395,0.843,2.128,41.316,339.4,24.4,47.4,Medium,ok,1607
Hesperidin,-1.157,0.841,2.739,86.134,610.6,23.1,47.3,Medium,domain-edge (prediction unreliable),1608
Ibuprofen,3.073,0.841,-2.468,81.415,206.3,28.0,47.3,Medium,ok,1609
Dexibuprofen,3.073,0.841,-2.384,79.797,206.3,28.0,47.3,Medium,ok,1610
Mephenesin,0.727,0.839,1.268,58.073,182.2,26.8,47.3,Medium,ok,1611
Chlorphentermine,2.62,0.837,6.588,45.541,183.7,18.8,47.2,Medium,ok,1612
Levosimendan,1.362,0.835,-2.614,72.09,280.3,27.8,47.1,Medium,ok,1613
Hydroxycitronellal,2.153,0.828,3.436,30.356,172.3,21.7,46.9,Medium,ok,1614
Colchicine,2.872,0.825,-2.282,56.53,399.4,27.5,46.8,Medium,ok,1615
Propranolol,2.578,0.824,4.473,66.001,259.3,20.3,46.7,Medium,ok,1616
Mechlorethamine,1.396,0.823,4.657,23.883,156.1,20.1,46.7,Medium,ok,1617
Zinc,-0.002,0.82,1.561,39.305,65.4,25.2,46.6,Medium,domain-edge (prediction unreliable),1618
Vibegron,2.766,0.82,0.121,69.318,444.5,27.3,46.6,Medium,ok,1619
Trimethoprim,1.258,0.81,-0.83,59.76,290.3,27.0,46.2,Medium,ok,1620
Naratriptan,2.069,0.806,8.703,51.149,335.5,16.8,46.1,Medium,ok,1621
Nitric Oxide,-0.447,0.806,-3.913,38.144,30.0,26.9,46.1,Medium,domain-edge (prediction unreliable),1622
Bendamustine,3.265,0.804,0.545,77.134,358.3,26.8,46.1,Medium,ok,1623
Aurothioglucose,-2.019,0.806,1.322,54.542,392.2,25.6,46.1,Medium,ok,1624
Adrafinil,2.03,0.806,-2.855,79.205,289.4,26.9,46.1,Medium,ok,1625
Metharbital,0.501,0.8,-2.364,43.372,198.2,26.7,45.9,Medium,ok,1626
Sitagliptin,2.017,0.796,-2.563,35.053,407.3,26.5,45.8,Medium,ok,1627
Oxygen,0.067,0.793,-3.506,43.706,32.0,26.4,45.7,Medium,domain-edge (prediction unreliable),1628
Enprofylline,-0.177,0.793,-2.287,61.451,194.2,26.4,45.7,Medium,ok,1629
Cisplatin,1.7,0.786,1.733,33.199,300.0,23.7,45.4,Medium,ok,1630
Paraldehyde,1.088,0.782,1.326,32.205,132.2,24.8,45.3,Medium,ok,1631
Cetirizine,3.148,0.783,3.771,88.214,388.9,20.1,45.3,Medium,ok,1632
Cyclopentolate,2.18,0.778,1.245,37.509,291.4,25.0,45.2,Medium,ok,1633
Saxagliptin,1.158,0.779,-1.13,36.42,315.4,26.0,45.2,Medium,ok,1634
Acetaminophen,1.351,0.778,-0.422,43.478,151.2,25.9,45.2,Medium,ok,1635
Naloxone,1.301,0.772,0.193,56.703,327.4,25.7,44.9,Medium,ok,1636
Alprostadil,3.475,0.761,-2.956,69.021,354.5,25.4,44.6,Medium,ok,1637
Tedizolid,1.396,0.762,-1.539,83.245,370.3,25.4,44.6,Medium,ok,1638
Entacapone,1.781,0.752,2.114,64.755,305.3,21.8,44.3,Medium,ok,1639
Primaquine,2.783,0.754,18.165,63.867,259.4,15.1,44.3,Medium,ok,1640
Mercaptopurine,1.015,0.749,3.508,61.415,152.2,19.5,44.2,Medium,ok,1641
Landiolol,0.685,0.748,1.005,56.003,509.6,24.9,44.1,Medium,ok,1642
Nialamide,1.022,0.747,-2.232,58.306,298.3,24.9,44.1,Medium,ok,1643
Rutin,-1.687,0.744,5.664,85.51,610.5,17.3,44.0,Medium,domain-edge (prediction unreliable),1644
Dofetilide,1.983,0.742,2.586,69.016,441.6,20.6,43.9,Medium,ok,1645
Doxorubicin,0.001,0.74,15.985,78.288,543.5,14.8,43.8,Medium,ok,1646
Rivastigmine,2.76,0.736,1.118,32.412,250.3,24.1,43.7,Medium,ok,1647
Unoprostone,4.255,0.737,-1.713,74.347,382.5,24.6,43.7,Medium,ok,1648
Pramipexole,1.582,0.735,5.03,51.539,211.3,17.6,43.7,Medium,ok,1649
Diflunisal,3.036,0.736,-2.505,93.7,250.2,24.5,43.7,Medium,ok,1650
NITHIAMIDE,1.01,0.734,-3.318,61.314,187.2,24.5,43.6,Medium,ok,1651
Labetalol,2.135,0.731,3.85,61.303,328.4,18.7,43.5,Medium,ok,1652
Thimerosal,-1.418,0.724,6.809,78.973,381.8,16.1,43.3,Medium,ok,1653
Sodium lauryl sulfoacetate,-0.0,0.722,6.333,80.59,307.4,16.3,43.2,Medium,ok,1654
Linezolid,1.124,0.722,-1.993,37.171,337.4,24.1,43.2,Medium,ok,1655
Magaldrate,-14.694,0.717,-8.932,113.183,96.1,23.9,43.1,Medium,domain-edge (prediction unreliable),1656
Edaravone,1.799,0.719,-4.339,62.761,174.2,24.0,43.1,Medium,ok,1657
Epirubicin,0.001,0.717,15.737,78.022,543.5,14.3,43.1,Medium,ok,1658
Bumadizone,3.938,0.716,-2.221,90.885,326.4,23.9,43.0,Medium,ok,1659
Rubidium Rb-82,-2.996,0.714,3.932,38.643,81.9,18.1,43.0,Medium,domain-edge (prediction unreliable),1660
Brivaracetam,0.899,0.716,-2.128,35.759,212.3,23.9,43.0,Medium,ok,1661
Azithromycin,1.901,0.71,8.064,33.6,749.0,15.1,42.8,Medium,domain-edge (prediction unreliable),1662
Lorcaserin,2.589,0.708,7.927,46.838,195.7,15.1,42.7,Medium,ok,1663
Naltrexone,1.525,0.706,1.225,52.09,341.4,22.7,42.7,Medium,ok,1664
Rilmenidine,1.151,0.704,-0.107,40.72,180.3,23.5,42.6,Medium,ok,1665
Raltegravir,0.912,0.701,-2.472,78.403,444.4,23.4,42.5,Medium,ok,1666
Minoxidil,-0.13,0.698,2.484,53.278,209.3,19.6,42.4,Medium,ok,1667
Dioctyldimonium,5.784,0.693,18.024,36.24,270.5,13.9,42.3,Medium,ok,1668
Ozenoxacin,3.755,0.695,-2.119,94.237,363.4,23.2,42.3,Medium,ok,1669
Methyprylon,1.128,0.688,-0.961,26.504,183.3,22.9,42.1,Medium,ok,1670
Diclofenamide,0.288,0.688,0.973,69.066,305.2,22.9,42.1,Medium,ok,1671
Aluminium phosphate,-3.205,0.678,-1.637,77.329,95.0,22.6,41.7,Medium,domain-edge (prediction unreliable),1672
Cocaine,1.868,0.677,-1.62,55.1,303.4,22.6,41.7,Medium,ok,1673
Hypochlorite,-0.5,0.674,1.362,24.975,51.5,21.3,41.6,Medium,domain-edge (prediction unreliable),1674
Nitrogen,0.03,0.672,-3.011,26.996,28.0,22.4,41.5,Medium,domain-edge (prediction unreliable),1675
Fezolinetant,2.461,0.662,-3.265,63.41,358.4,22.1,41.2,Medium,ok,1676
Nateglinide,3.261,0.663,-2.501,92.124,317.4,22.1,41.2,Medium,ok,1677
Doxylamine,2.923,0.655,2.109,39.937,270.4,19.0,41.0,Medium,ok,1678
Fenoldopam,2.734,0.657,3.813,68.87,305.8,16.8,41.0,Medium,ok,1679
Protocatechualdehyde,0.91,0.653,-1.481,51.108,138.1,21.8,40.9,Medium,ok,1680
Hydrogen fluoride,0.152,0.65,0.863,21.222,20.0,21.7,40.8,Medium,domain-edge (prediction unreliable),1681
Steviolbioside,-0.197,0.648,-2.969,73.368,642.7,21.6,40.7,Medium,domain-edge (prediction unreliable),1682
Glibornuride,2.169,0.644,-1.521,92.58,366.5,21.5,40.6,Medium,ok,1683
Naproxen,3.037,0.642,-4.144,89.11,230.3,21.4,40.5,Medium,ok,1684
Estrone sulfate,3.293,0.639,-0.793,93.367,350.4,21.3,40.4,Medium,ok,1685
Acetylene,0.249,0.634,0.993,23.878,26.0,21.1,40.3,Medium,domain-edge (prediction unreliable),1686
Ritodrine,2.352,0.636,0.536,49.566,287.4,21.2,40.3,Medium,ok,1687
Cobalt chloride,-5.994,0.628,7.696,45.276,35.5,13.5,40.1,Medium,domain-edge (prediction unreliable),1688
Alprenolol,2.153,0.628,2.37,52.667,249.4,17.8,40.1,Medium,ok,1689
Epoprostenol,3.409,0.628,-2.533,70.414,352.5,20.9,40.1,Medium,ok,1690
Bentiromide,3.07,0.627,-6.706,95.022,404.4,20.9,40.0,Medium,ok,1691
Carbazochrome,-1.29,0.624,-2.867,56.824,236.2,20.8,39.9,Low,ok,1692
Metipranolol,2.275,0.622,3.91,55.334,309.4,15.8,39.8,Low,ok,1693
Olodaterol,2.376,0.613,1.331,70.488,386.4,19.4,39.6,Low,ok,1694
Valproic acid,2.287,0.611,-2.072,50.579,144.2,20.4,39.5,Low,ok,1695
Primidone,0.538,0.609,-3.152,49.433,218.3,20.3,39.4,Low,ok,1696
Metyrapone,2.637,0.605,-0.213,27.487,226.3,20.2,39.3,Low,ok,1697
Colchiceine,2.569,0.604,-2.151,59.999,385.4,20.1,39.2,Low,ok,1698
Brimonidine,1.763,0.598,4.547,59.4,292.1,14.7,39.1,Low,ok,1699
Samarium (153Sm) lexidronam,-3.765,0.598,-4.045,64.424,433.1,19.9,39.1,Low,ok,1700
Treprostinil,3.583,0.599,-2.094,95.35,390.5,20.0,39.1,Low,ok,1701
Milrinone,1.617,0.6,-3.566,63.089,211.2,20.0,39.1,Low,ok,1702
Artesunate,2.602,0.599,-1.41,87.588,384.4,20.0,39.1,Low,ok,1703
Sulfaphenazole,2.255,0.593,-3.496,90.806,314.4,19.8,38.9,Low,ok,1704
Tizanidine,1.716,0.59,0.446,64.207,253.7,19.7,38.8,Low,ok,1705
ATH434,2.055,0.59,8.481,59.463,302.2,12.4,38.8,Low,ok,1706
Dalfopristin,2.269,0.586,7.469,49.175,690.9,12.7,38.7,Low,domain-edge (prediction unreliable),1707
Procaine,1.767,0.583,13.874,36.904,236.3,11.7,38.6,Low,ok,1708
Tiaprofenic acid,3.167,0.583,-1.595,89.371,260.3,19.4,38.6,Low,ok,1709
Mupirocin,2.593,0.58,-0.92,70.858,500.6,19.3,38.5,Low,ok,1710
Rifampin,4.335,0.581,10.561,80.661,823.0,11.6,38.5,Low,domain-edge (prediction unreliable),1711
Indalpine,3.1,0.581,9.905,54.431,228.3,11.7,38.5,Low,ok,1712
Alclofenac,2.532,0.578,-1.24,83.591,226.7,19.3,38.4,Low,ok,1713
Carindacillin,2.496,0.568,-4.761,96.12,494.6,18.9,38.1,Low,ok,1714
Naloxegol,1.864,0.568,17.64,27.412,651.8,11.4,38.1,Low,domain-edge (prediction unreliable),1715
Hydrocodone,1.933,0.57,-1.576,44.505,299.4,19.0,38.1,Low,ok,1716
Lincomycin,-0.857,0.567,0.556,36.984,406.5,18.9,38.0,Low,ok,1717
Maraviroc,5.951,0.566,4.92,49.071,513.7,13.6,38.0,Low,ok,1718
Acemetacin,3.471,0.561,-2.802,97.617,415.8,18.7,37.9,Low,ok,1719
Dobutamine,2.957,0.563,4.029,59.88,301.4,14.2,37.9,Low,ok,1720
Sulfapyridine,1.465,0.556,0.16,78.438,249.3,18.5,37.7,Low,ok,1721
Eslicarbazepine,2.493,0.555,-4.758,51.379,254.3,18.5,37.6,Low,ok,1722
Diphemanil,4.359,0.555,4.042,48.988,278.4,14.0,37.6,Low,ok,1723
Mecobalamin,0.925,0.551,-18.098,43.694,1344.4,18.4,37.5,Low,domain-edge (prediction unreliable),1724
Bicisate,-0.111,0.549,-0.763,36.161,324.5,18.3,37.4,Low,ok,1725
Tioguanine,0.598,0.549,3.307,68.458,167.2,14.5,37.4,Low,ok,1726
Methylchloroisothiazolinone,1.1,0.544,0.568,42.199,149.6,18.1,37.3,Low,ok,1727
Tetryzoline,2.108,0.541,-1.294,44.895,200.3,18.0,37.2,Low,ok,1728
Phenacemide,0.424,0.536,-4.872,49.723,178.2,17.9,37.0,Low,ok,1729
Eluxadoline,4.159,0.535,-5.84,91.164,569.7,17.8,37.0,Low,ok,1730
Bromotheophylline,-0.277,0.535,-0.185,50.109,259.1,17.8,37.0,Low,ok,1731
Gallium chloride Ga-67,-9.369,0.534,8.481,52.922,66.9,11.2,37.0,Low,domain-edge (prediction unreliable),1732
Fenbufen,3.401,0.535,-4.844,95.43,254.3,17.8,37.0,Low,ok,1733
Technetium Tc-99m medronate,-4.881,0.533,-1.618,85.51,172.0,17.8,36.9,Low,ok,1734
Apraclonidine,1.947,0.533,6.897,54.103,245.1,11.8,36.9,Low,ok,1735
Methyl nicotinate,0.868,0.528,-1.867,36.458,137.1,17.6,36.8,Low,ok,1736
Omadacycline,1.322,0.525,7.005,67.19,556.7,11.6,36.7,Low,ok,1737
Fenoterol,2.058,0.525,1.856,50.589,303.4,15.6,36.7,Low,ok,1738
Bromfenac,2.889,0.521,0.122,91.14,334.2,17.4,36.5,Low,ok,1739
Methantheline,3.954,0.517,29.514,39.965,340.4,10.3,36.4,Low,ok,1740
Phendimetrazine,2.078,0.515,1.025,30.072,191.3,17.1,36.4,Low,ok,1741
Magnesium chloride,-6.373,0.517,7.428,43.816,35.5,11.2,36.4,Low,domain-edge (prediction unreliable),1742
Almasilate,-12.241,0.516,-8.105,107.097,92.1,17.2,36.4,Low,domain-edge (prediction unreliable),1743
Levobetaxolol,2.393,0.514,4.626,48.592,307.4,12.6,36.3,Low,ok,1744
Bilastine,4.857,0.511,0.558,72.22,463.6,17.0,36.2,Low,ok,1745
Thallous chloride,-3.377,0.509,7.357,43.427,35.5,11.1,36.1,Low,domain-edge (prediction unreliable),1746
Aminophenazone,1.55,0.508,-2.054,44.469,231.3,16.9,36.1,Low,ok,1747
Dexketoprofen,3.106,0.503,-2.52,88.93,254.3,16.8,36.0,Low,ok,1748
Protokylol,2.081,0.5,2.183,63.145,331.4,14.4,35.9,Low,ok,1749
Dequalinium,6.17,0.497,46.652,57.591,456.7,9.9,35.8,Low,ok,1750
Mitomycin,-1.651,0.496,-4.236,46.963,334.3,16.5,35.7,Low,ok,1751
Etryptamine,2.448,0.494,6.119,45.002,188.3,11.3,35.7,Low,ok,1752
Cholic Acid,3.449,0.495,-1.698,70.734,408.6,16.5,35.7,Low,ok,1753
