name,logP,logD,Vd,PPB,MW,theory_score,ile_prob,category,ad_flag,rank
Cinnamaldehyde,1.899,1.457,-3.692,58.007,132.2,48.6,67.9,Medium,ok,1345
Technetium Tc-99m tetrofosmin,6.541,1.458,35.401,13.456,382.5,29.2,67.9,Medium,ok,1346
Lefamulin,3.867,1.45,0.773,73.832,507.7,48.3,67.7,Medium,ok,1347
Aluminum zirconium octachlorohydrex gly,-7.334,1.447,2.378,95.789,74.1,41.0,67.6,Medium,domain-edge (prediction unreliable),1348
Rose bengal,9.001,1.443,8.136,99.768,973.7,30.6,67.5,Medium,domain-edge (prediction unreliable),1349
Phenol,1.392,1.44,-0.785,45.132,94.1,48.0,67.4,Medium,domain-edge (prediction unreliable),1350
Molindone,1.963,1.441,5.879,52.885,276.4,33.2,67.4,Medium,ok,1351
Modafinil,2.01,1.442,-3.786,74.994,273.4,48.1,67.4,Medium,ok,1352
Phenylbutazone,3.788,1.441,-3.418,87.235,308.4,48.0,67.4,Medium,ok,1353
Cantharidin,0.644,1.437,-0.674,69.731,196.2,47.9,67.3,Medium,ok,1354
Liothyronine,3.953,1.437,12.391,94.405,651.0,28.7,67.3,Medium,domain-edge (prediction unreliable),1355
Pivhydrazine,1.854,1.437,-2.875,51.213,206.3,47.9,67.3,Medium,ok,1356
Rose bengal I-131,9.001,1.437,8.231,99.767,989.7,30.4,67.3,Medium,domain-edge (prediction unreliable),1357
Dezocine,3.114,1.432,0.943,63.286,245.4,47.7,67.2,Medium,ok,1358
Glycol salicylate,0.541,1.431,0.471,62.906,182.2,47.7,67.1,Medium,ok,1359
Nitroglycerin,-1.02,1.431,-4.873,60.451,227.1,47.7,67.1,Medium,ok,1360
Silodosin,3.071,1.427,5.182,72.122,495.5,34.0,67.0,Medium,ok,1361
Telithromycin,4.929,1.427,8.444,67.627,812.0,29.9,67.0,Medium,domain-edge (prediction unreliable),1362
Methsuximide,1.333,1.424,-5.179,59.666,203.2,47.5,66.9,Medium,ok,1363
Rufinamide,0.704,1.424,-3.837,63.944,238.2,47.5,66.9,Medium,ok,1364
Fostamatinib,3.095,1.424,4.821,89.523,580.5,34.5,66.9,Medium,ok,1365
Radium Ra 223 dichloride,-5.992,1.422,8.88,65.84,223.0,29.4,66.8,Medium,ok,1366
Ropinirole,2.846,1.421,9.153,54.818,260.4,29.1,66.8,Medium,ok,1367
Fencamfamin,3.178,1.422,4.004,51.442,215.3,36.0,66.8,Medium,ok,1368
Calcium,-0.381,1.418,0.241,46.362,40.1,47.3,66.7,Medium,domain-edge (prediction unreliable),1369
Guaiacol,1.401,1.416,-1.958,50.326,124.1,47.2,66.7,Medium,ok,1370
Tropicamide,2.206,1.412,1.269,47.92,284.4,45.1,66.5,Medium,ok,1371
Naftazone,0.92,1.412,-4.321,81.668,215.2,47.1,66.5,Medium,ok,1372
Vanadium,-0.002,1.408,1.032,46.28,50.9,46.7,66.4,Medium,domain-edge (prediction unreliable),1373
Fluvoxamine,3.202,1.409,10.175,74.926,318.3,28.2,66.4,Medium,ok,1374
Proparacaine,2.556,1.4,14.711,55.238,294.4,28.0,66.2,Medium,ok,1375
